Food Name,GI,Food Manufacturer,Product Category,Country of food production,Serving Size (g),Carbohydrate portion (g) or Average Carbohydrate portion (g),GL,Reference:,Subjects type,Time,Subjects Number,Year of test
"Cake, prepared with brown rice, corn, millet and buckwheat, gluten-free (Gallette Chicchi al vento, Grancereale)",67,"Barilla, Italy",Bakery Products,Italy,,30,20,"Scazzina, F., et al., Glycaemic index of some commercial gluten-free foods. European Journal of Nutrition, 2015. 54(6): p. 1021-6.",Normal,2h,10,2015
"Croissant, all butter",45,"Coles Supermarkets Pty Ltd, Australia",Bakery Products,Australia,,30,14,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2013
Croissant,67,,Bakery Products,Oman,,30,20,"Ali, A., et al., Glycemic Index of Commonly Consumed Snack Foods in Oman. International Journal of Nutrition, Pharmacology, Neurological Diseases, 2020. 10(2): p. 50-56.",Normal,2h,12,2020
"Apple Berry crumble, President's Choice® Blue Menu™",41,"Loblaw Brands Limited, Canada",Bakery Products,Canada,,30,12,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Bavarian (mousse filling on biscuit base), Chocolate honeycomb, light",31,"Sara Lee Bakery, Australia",Bakery Products,Australia,,30,9,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,9,2006-2007
"Danish Pastry, Apple & Peach, light",50,"Sara Lee Bakery, Australia",Bakery Products,Australia,,30,15,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006-2007
"Fruit mince pies, shortcrust pastry case filled with dried fruit",58,,Bakery Products,Australia,,30,17,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,11,2009
"Pavlova, meringue base topped with whipped cream, fresh strawberries, banana and passionfruit pulp",49,,Bakery Products,Australia,,30,15,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2010
Gingerbread,81,,Bakery Products,France,,30,24,"Wolever, T.M.S., et al., Glycemic Index and Insulinemic Index of Foods: An Interlaboratory Study Using the ISO 2010 Method. Nutrients, 2019. 11(9).",Normal,2h,15,2019
Gingerbread,88,,Bakery Products,France,,30,26,"Wolever, T.M.S., et al., Glycemic Index and Insulinemic Index of Foods: An Interlaboratory Study Using the ISO 2010 Method. Nutrients, 2019. 11(9).",Normal,2h,15,2019
Gingerbread,89,,Bakery Products,France,,30,27,"Wolever, T.M.S., et al., Glycemic Index and Insulinemic Index of Foods: An Interlaboratory Study Using the ISO 2010 Method. Nutrients, 2019. 11(9).",Normal,2h,13,2019
Apple Blueberry muffin,49,"Sara Lee Bakery, Australia",Bakery Products,Australia,,30,15,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,9,2006-2007
"Apple, oat, sultana muffin",54,,Bakery Products,Australia,,30,16,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2000
"Apricot, coconut and honey muffin",60,,Bakery Products,Australia,,30,18,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2000
"Banana, oat and honey muffin",65,,Bakery Products,Australia,,30,20,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
Blueberry muffin,50,"Sara Lee Bakery, Australia",Bakery Products,Australia,,30,15,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006-2007
"Blueberry (Wild) 10-Grain muffin, President's Choice® Blue Menu™",57,"Loblaw Brands Limited, Canada",Bakery Products,Canada,,30,17,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
Chocolate butterscotch muffin,53,,Bakery Products,Australia,,30,16,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2001
Chocolate chip muffin,52,"Sara Lee Bakery, Australia",Bakery Products,Australia,,30,16,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,11,2006-2007
"Cranberry & Orange Soy muffin, President's Choice® Blue Menu™",48,"Loblaw Brands Limited, Canada",Bakery Products,Canada,,30,14,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
Cranberry Raisin muffin,43,,Bakery Products,Australia,,30,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2013
Double chocolate muffin,46,"Sara Lee Bakery, Australia",Bakery Products,Australia,,30,14,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006-2007
"Raisin Bran Flax muffin, President's Choice® Blue Menu™",52,"Loblaw Brands Limited, Canada",Bakery Products,Canada,,30,16,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Raspberry Pomegranate muffin, President's Choice® Blue Menu™",58,"Loblaw Brands Limited, Canada",Bakery Products,Canada,,30,17,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Muffin, made with 14% soft wheat flour, 7% lentil flour, 5% resistant starch and 3% dextrins",39,,Bakery Products,Spain,,30,12,"Ferrer-Mairal, A., et al., In vitro and in vivo assessment of the glycemic index of bakery products: influence of the reformulation of ingredients. European Journal of Nutrition, 2012. 51(8): p. 947-54.",Normal,2h,10,2009
Muffin made with oat flour,54,,Bakery Products,Singapore,,30,16,"Soong, Y.Y., R.Y.C. Quek, and C.J. Henry, Glycemic potency of muffins made with wheat, rice, corn, oat and barley flours: a comparative study between in vivo and in vitro. European Journal of Nutrition, 2015. 54(8): p. 1281-5.",Normal,2h,12,2015
Muffin made with barley flour,55,,Bakery Products,Singapore,,30,17,"Soong, Y.Y., R.Y.C. Quek, and C.J. Henry, Glycemic potency of muffins made with wheat, rice, corn, oat and barley flours: a comparative study between in vivo and in vitro. European Journal of Nutrition, 2015. 54(8): p. 1281-5.",Normal,2h,12,2015
Muffin made with corn flour,74,,Bakery Products,Singapore,,30,22,"Soong, Y.Y., R.Y.C. Quek, and C.J. Henry, Glycemic potency of muffins made with wheat, rice, corn, oat and barley flours: a comparative study between in vivo and in vitro. European Journal of Nutrition, 2015. 54(8): p. 1281-5.",Normal,2h,12,2015
Muffin made with wheat flour,74,,Bakery Products,Singapore,,30,22,"Soong, Y.Y., R.Y.C. Quek, and C.J. Henry, Glycemic potency of muffins made with wheat, rice, corn, oat and barley flours: a comparative study between in vivo and in vitro. European Journal of Nutrition, 2015. 54(8): p. 1281-5.",Normal,2h,12,2015
Muffin made with rice flour,79,,Bakery Products,Singapore,,30,24,"Soong, Y.Y., R.Y.C. Quek, and C.J. Henry, Glycemic potency of muffins made with wheat, rice, corn, oat and barley flours: a comparative study between in vivo and in vitro. European Journal of Nutrition, 2015. 54(8): p. 1281-5.",Normal,2h,12,2015
"Pancakes, prepared with wheat flour and coconut flour",46,,Bakery Products,Philippines,,30,14,"Trinidad, T.P., et al., Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. British Journal of Nutrition, 2003. 90(3): p. 551-556.",Normal,2h,10,2002
"Pancakes, prepared from wheat flour and water",61,"Coles Smart Buy Plain Flour, Coles Supermarkets Pty Ltd",Bakery Products,Australia,,30,18,"Dona, A.C., et al., (1)H NMR spectroscopy for the in vitro understanding of the glycaemic index. British Journal of Nutrition, 2013. 109(11): p. 1934-9.",Normal,2h,10,2009
"Pancakes, prepared from shake mix",67,"Green's General Foods, Glendenning, Australia",Bakery Products,Australia,,30,20,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Pancakes, millet (100% foxtail millet flour)",76,,Bakery Products,China,,30,23,"Ren, X., et al., In vitro starch digestibility and in vivo glycemic response of foxtail millet and its products. Food & Function, 2016. 7(1): p. 372-9.",Normal,2h,10,2016
"Pancakes, prepared from wheat flour",80,,Bakery Products,China,,30,24,"Yang, Y.X., et al., Glycemic index of cereals and tubers produced in China. World Journal of Gastroenterology, 2006. 12(21): p. 3430-3.",Normal,2h,10,2005
"Pancakes, millet (75% foxtail millet flour, 25% extrusion flour (w/w, dry basis)",83,,Bakery Products,China,,30,25,"Ren, X., et al., In vitro starch digestibility and in vivo glycemic response of foxtail millet and its products. Food & Function, 2016. 7(1): p. 372-9.",Normal,2h,10,2016
"Pancakes, buckwheat, gluten-free, made from packet mix",102,"Orgran Natural Foods, Carrum Downs, Australia",Bakery Products,Australia,,30,31,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Pancakes, gluten-free, made from packet mix",61,"Freedom Foods, Cheltenham, Australia",Bakery Products,Australia,,30,18,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006-2007
"Brownies, containing wheat flour and coconut flour",43,,Bakery Products,Philippines,,30,13,"Trinidad, T.P., et al., Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. British Journal of Nutrition, 2003. 90(3): p. 551-556.",Normal,2h,10,2002
"Cinnamon bread, prepared with wheat flour and coconut flour",45,,Bakery Products,Philippines,,30,14,"Trinidad, T.P., et al., Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. British Journal of Nutrition, 2003. 90(3): p. 551-556.",Normal,2h,10,2002
Doughnut,75,,Bakery Products,Oman,,30,23,"Ali, A., et al., Glycemic Index of Commonly Consumed Snack Foods in Oman. International Journal of Nutrition, Pharmacology, Neurological Diseases, 2020. 10(2): p. 50-56.",Normal,2h,12,2020
"Hot cross buns, spiced sweet bun with dried fruit",59,"Tip Top Bakeries, Chatswood, Australia",Bakery Products,Australia,,30,18,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2012
"Hot cross buns, spiced sweet bun with dried fruit",66,,Bakery Products,Australia,,30,20,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2012
"Pan de sal (sweet bread roll), containing wheat flour and coconut flour",62,,Bakery Products,Philippines,,30,19,"Trinidad, T.P., et al., Glycaemic index of different coconut (Cocos nucifera)-flour products in normal and diabetic subjects. British Journal of Nutrition, 2003. 90(3): p. 551-556.",Normal,2h,10,2002
"Pastry, puff",56,"Pampas™, Australia",Bakery Products,Australia,,30,17,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Pastry, puff, with wheat flour and sugar",47,"Nastrine, Italy",Bakery Products,Italy,,30,14,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2005
"Pikelets, Golden brand",85,"Tip Top Bakeries, Chatswood, Australia",Bakery Products,Australia,,30,26,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Pizza base, baked in oven at 220oC for 9 min",52,"Boboli, Orograin Bakeries Manufacturing Inc, PA, USA",Bakery Products,USA,,30,16,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2015
"Scones, plain, made from packet mix",92,"Defiance Milling Co, Australia",Bakery Products,Australia,,30,28,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2000
"Sweet bread, with chocolate chips",50,"Pangoccioli, Italy",Bakery Products,Italy,,30,15,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2009
"Tarte, made with wheat flour and apricot jam",44,"Crostatina all'albicocca, Italy",Bakery Products,Italy,,30,13,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2005
Beer (4.5% alcohol by volume) (Nikolai Lager),119,"Sinebrychoff Ltd, Finland",Beverages,Finland,,10,12,"Hatonen, K.A., et al., Modifying effects of alcohol on the postprandial glucose and insulin responses in healthy subjects. The American Journal of Clinical Nutrition, 2012. 96(1): p. 44-9.",Normal,2h,10,2012
"Beer (4.4% alcohol by volume), Pilsner Urquell®",89,"Plze?ský Prazdroj, A.S., Czech Republic",Beverages,Czech Republic,,10,9,"Sluik, D., et al., Contributors to dietary glycaemic index and glycaemic load in the Netherlands: the role of beer. British Journal of Nutrition, 2016. 115(7): p. 1218-25.",Normal,2h,10,2016
"Beer, non-alcoholic (0.0% alcohol by volume) (Nikolai Lager)",80,"Sinebrychoff Ltd, Finland",Beverages,Finland,,10,8,"Hatonen, K.A., et al., Modifying effects of alcohol on the postprandial glucose and insulin responses in healthy subjects. The American Journal of Clinical Nutrition, 2012. 96(1): p. 44-9.",Normal,2h,10,2012
"Coca Cola®, soft drink",53,"Coca Cola Amatil, Sydney, Australia",Beverages,Australia,,25,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Coca Cola®, soft drink",73,,Beverages,Italy,,25,18,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2011
"Cola, Pepsi®, sucrose-sweetened",72,"Pepsi, Hartwall Ltd, Finland",Beverages,Finland,,25,18,"Hatonen, K.A., et al., Coffee does not modify postprandial glycaemic and insulinaemic responses induced by carbohydrates. European Journal of Nutrition, 2012. 51(7): p. 801-6.",Normal,2h,12,2011
"Ginger beer, carbonated beverage",65,"Bundaberg Brewed Drinks Pty Ltd, Australia",Beverages,Australia,,25,16,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2017
"Lemon flavored soft drink, Lemonade, Schweppes®",54,"Cadbury Schweppes, Sydney, Australia",Beverages,Australia,,25,14,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Lemon flavored soft drink, Solo™, lemon squash",58,"Cadbury Schweppes, Australia",Beverages,Australia,,25,15,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2001
Lemon flavored soft drink Sprite™,64,"The Coca-Cola Company, Australia",Beverages,Australia,,25,16,"Luke, D.R., et al., Phase 1 Study of the Pharmacology of BTI320 Before High-Glycemic Meals. Clinical Pharmacology in Drug Development, 2019. 8(3): p. 395-403.",Normal,2h,10,2011
"Blackcurrant fruit syrup, Ribena™ reconstituted with water",52,"GlaxoSmithKline Group, Australia",Beverages,Australia,,25,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2006
"Fruit drink, decreased GI variant (containing 8% isomaltose)",48,,Beverages,Belgium,,25,12,"Vrolix, R. and R.P. Mensink, Variability of the glycemic response to single food products in healthy subjects. Contemporary Clinical Trials, 2010. 31(1): p. 5-11.",Normal,2h,10,2010
"Fruit drink, increased GI variant (containing 8% sucrose)",86,,Beverages,Belgium,,25,22,"Vrolix, R. and R.P. Mensink, Variability of the glycemic response to single food products in healthy subjects. Contemporary Clinical Trials, 2010. 31(1): p. 5-11.",Normal,2h,10,2010
Fruit flavored beverage,67,,Beverages,Australia,,25,17,"Wright, A.G., T.P. Ellis, and L.L. Ilag, Filtered molasses concentrate from sugar cane: natural functional ingredient effective in lowering the glycaemic index and insulin response of high carbohydrate foods. Plant Foods for Human Nutrition, 2014. 69(4): p. 310-6.",Normal,2h,10,2014
Fruit flavored beverage with 0.22 g Filtered Molasses Concentrate added per 100 mL (3.6 g FMC/100 g carbohydrate),58,,Beverages,Australia,,25,15,"Wright, A.G., T.P. Ellis, and L.L. Ilag, Filtered molasses concentrate from sugar cane: natural functional ingredient effective in lowering the glycaemic index and insulin response of high carbohydrate foods. Plant Foods for Human Nutrition, 2014. 69(4): p. 310-6.",Normal,2h,10,2014
"Ice Green Tea, ready-to-drink brewed green tea",50,"Pokka Corporation (S) Private Ltd, Singapore",Beverages,Singapore,,25,13,"Sun, L., et al., Glycaemic index and glycaemic load of selected popular foods consumed in Southeast Asia. British Journal of Nutrition, 2015. 113(5): p. 843-8.",Normal,2h,13,2015
"Iced Green Tea, 7% lemon juice",66,"Estathè verde, Ferrero, Italy",Beverages,Italy,,25,17,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2011
"Ice Lemon Tea, ready-to-drink black tea with lemon flavor",74,"F&N Foods Private Ltd, Singapore)",Beverages,Singapore,,25,19,"Sun, L., et al., Glycaemic index and glycaemic load of selected popular foods consumed in Southeast Asia. British Journal of Nutrition, 2015. 113(5): p. 843-8.",Normal,2h,14,2015
"Iced lemon tea, decaffeinated, lemon juice powder 0.2% (7% fructose)",38,"Estathè deteinato limone, Ferrero, Italy",Beverages,Italy,,25,10,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2011
"Iced lemon tea, lemon juice powder 0.2%",72,"Estathè limone, Ferrero, Italy",Beverages,Italy,,25,18,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2011
"Iced peach tea, 9.5% peach juice",71,"Estathè pesca, Ferrero, Italy",Beverages,Italy,,25,18,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,9,2011
"Orange Delight Cocktail with pulp, President's Choice® Blue Menu™",44,"Loblaw Brands Limited, Canada",Beverages,Canada,,25,11,"INQUIS Clinical Research (formerly GI Labs Ltd.) (Toronto, Canada), unpublished observations.",Normal,2h,10,2007
"Tropical blend fruit drink, V8 Splash®",47,"Campbell's Soup Company, USA",Beverages,USA,,25,12,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2002
"Choc Banana flavored drink, Aussie Bodies Start the Day UHT",24,"Aussie Bodies Pty Ltd, Australia",Beverages,Australia,,25,6,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,10,2006-2007
"Chocolate flavored drink, Aussie Bodies Start the Day UHT",26,"Aussie Bodies Pty Ltd, Australia",Beverages,Australia,,25,7,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006-2007.",Normal,2h,11,2006-2007
"Hot Chocolate mix made with hot water, Complete",51,"Nestlé, Australia",Beverages,Australia,,25,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2001
"Chocolate Liquid Breakfast, Devondale Fast Start",39,"Murray Goulburn Co-Operative Company Limited, Australia",Beverages,Australia,,25,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2012
"Coffee Liquid Breakfast, Devondale Fast Start",39,"Murray Goulburn Co-Operative Company Limited, Australia",Beverages,Australia,,25,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,2012
Kellogg’s® Coco Pops Chocolatey Liquid Breakfast,35,Kellogg’s Australia,Beverages,Australia,,25,9,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2012
Kellogg‘s® Nutri-Grain Breakfast Fuel,38,Kellogg’s Australia,Beverages,Australia,,25,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2012
"Milo™, dissolved in water",55,"Nestlé, Australia",Beverages,Australia,,25,14,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,1999
"Milo™, dissolved in water",52,"Nestlé, Auckland, New Zealand",Beverages,New Zealand,,25,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,1999
"Milk powder, Jerseyjoy Active Life, prepared with water",32,Australia Jersey Dairy Group Pty Ltd,Beverages,Australia,,25,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2019
"Nesquik™, chocolate, prepared with water",53,"Nestlé, Australia",Beverages,Australia,,25,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,1998
"Nesquik™, strawberry, prepared with water",64,"Nestlé, Australia",Beverages,Australia,,25,16,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,9,1998
"Ovaltine®, chocolate, prepared with water",50,"Twinings & Co, Australia",Beverages,Australia,,25,13,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2016
"Formulated Milk powder for Middle-Aged Adults, Probilove, prepared with water",32,Australia Jersey Dairy Group Pty Ltd,Beverages,Australia,,25,8,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2019
"Vanilla drink with fiber, Build-Up™ nutrient-fortified drink",41,"Nestlé, Australia",Beverages,Australia,,25,10,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2001
"Vanilla Liquid Breakfast, Devondale Fast Start",49,"Murray Goulburn Co-Operative Company Limited, Australia",Beverages,Australia,,25,12,"Sydney University's Glycemic Index Research Service (Sydney, Australia), unpublished observations.",Normal,2h,10,2012
Yakult,51,Yakult Italia,Beverages,Italy,,25,13,"Scazzina, F., et al., Glycemic index and glycemic load of commercial Italian foods. Nutrition, Metabolism, and Cardiovascular Diseases : NMCD, 2016. 26(5): p. 419-29.",Normal,2h,10,2011
